id,area,priority,requirement,acceptance_criteria,required_evidence,status,baseline_status,gate_result,owner_role,dependencies,spec_refs,increment,critical_path,test_ids,artifact_paths,commit,last_verified_at,notes
PC-146,دسترس‌پذیری,P0,WCAG 2.2 AA مسیرهای P0 هدف باشد,Audit خودکار و دستی بدون Critical/Serious,A11y report,IN_PROGRESS,BASELINED,PARTIAL,Accessibility Lead,PC-153;Design System foundation,§29.1; §31; §32.2,I0-baseline→I1-framework→I8-manual,cross-cutting,QA-BRW-003;QA-A11Y-005;QA-INT-002,docs/qa/ACCESSIBILITY_REPORT.md;artifacts/qa/baseline/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011904Z;artifacts/qa/a11y-matrix/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011941Z;artifacts/qa/interactions/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012351Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Root و پنج state current violation خودکار صفر دارند اما ۳۳ و ۱۶۳ node contrast incomplete و audit دستی و screen-reader و Reflow و همه Route/Stateها باز است
PC-147,دسترس‌پذیری,P0,Keyboard کامل باشد,تمام P0 بدون Pointer قابل انجام و focus قابل مشاهده,Keyboard walkthrough,IN_PROGRESS,BASELINED,PARTIAL,Accessibility Lead,PC-153;Design System foundation,§29.1; §31; §32.2,I0-baseline→I1-framework→I8-manual,cross-cutting,QA-INT-002;QA-JS-003;QA-A11Y-005;QA-REF-UI-001;QA-PANEL-001,artifacts/qa/interactions/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012351Z;artifacts/qa/javascript/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013052Z;artifacts/qa/a11y-matrix/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011941Z;artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z;artifacts/qa/panel-navigation/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T010846Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Watchlist و پنج tab و onboarding focus و Referral acknowledgement و Panel palette keyboard در scope pass شدند؛ walkthrough بدون pointer همه P0 باز است
PC-148,دسترس‌پذیری,P0,Dialog focus درست باشد,trap، initial focus، escape و restore پاس شود,Component/E2E,IN_PROGRESS,BASELINED,PARTIAL,Accessibility Lead,PC-153;Design System foundation,§29.1; §31; §32.2,I0-baseline→I1-framework→I8-manual,cross-cutting,QA-A11Y-003,qa/tests/onboarding-focus.spec.mjs;artifacts/qa/a11y-focus/080033ae56e3c793ba3a998276cac5daeb969d50/20260714T234226Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-14T23:58:00Z,Dialog آنبوردینگ initial focus و wrap و containment و Escape durable-close و restore/fallback را در Source و build obfuscated پاس کرد؛ سایر Dialogها مانده‌اند
PC-149,دسترس‌پذیری,P0,Contrast و عدم اتکا به رنگ رعایت شود,Themeها و stateها معیار را پاس کنند,Contrast audit,IN_PROGRESS,BASELINED,PARTIAL,Accessibility Lead,PC-153;Design System foundation,§29.1; §31; §32.2,I0-baseline→I1-framework→I8-manual,cross-cutting,QA-BRW-003;QA-A11Y-005,docs/qa/ACCESSIBILITY_REPORT.md;artifacts/qa/baseline/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011904Z;artifacts/qa/a11y-matrix/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011941Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Violation خودکار contrast صفر است اما ۳۳ node root و ۱۶۳ node matrix incomplete و Theme و عدم اتکا به رنگ نیازمند review دستی است
PC-150,دسترس‌پذیری,P1,Zoom/Reflow 200% باشد,بدون loss of content/function در Viewport هدف,Manual visual,IN_PROGRESS,BASELINED,PARTIAL,Accessibility Lead,PC-153;Design System foundation,§29.1; §31; §32.2,I0-baseline→I1-framework→I8-manual,cross-cutting,QA-BRW-003,docs/qa/ACCESSIBILITY_REPORT.md;artifacts/qa/baseline/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011904Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,meta viewport automated روی root current پاس است؛ Zoom/Reflow ۲۰۰ درصد و loss-of-content دستی انجام نشده است
PC-151,دسترس‌پذیری,P1,Screen reader announcements باشد,Stream/Alert/order/error تغییرها به‌درستی اعلام شوند,Manual SR test,NOT_STARTED,BASELINING,NOT_ASSESSED,Accessibility/Event Platform Lead,Stream;Alert;Paper;error event models,§29.1,I4,P1,,,,,
PC-152,دسترس‌پذیری,P1,جایگزین Canvas موجود باشد,جدول OHLCV و عملیات جایگزین Drawing/selection کار کند,A11y E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Accessibility/Chart Lead,Chart core;PC-146–147,§29.2,I2.5,P1,,,,,
PC-153,QA و تحویل,P0,محیط Visual قفل‌شده باشد,browser/font/timezone/clock/data/DPR ثابت و versioned,Harness audit,IN_PROGRESS,BASELINED,PARTIAL,QA Automation Lead,GOV,§31.1,I0-EVIDENCE,critical,QA-VIS-003,docs/qa/VISUAL_MATRIX.md;artifacts/qa/visual-determinism/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012203Z;artifacts/qa/visual-determinism/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012250Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,سه fixture current با browser/font/timezone/clock/data/DPR قفل و میان دو run byte-identical هستند؛ Theme و viewport matrix کامل نیست
PC-154,QA و تحویل,P0,تمام صفحات/Stateها Screenshot داشته باشند,Visual matrix هیچ خانه P0/P1 بدون artifact نداشته باشد,Evidence index,IN_PROGRESS,BASELINED,PARTIAL,Visual QA Lead,INVENTORY;PC-153;approved state/viewport matrices,§31.2–31.6; §38.3,I0-pipeline→every-increment,critical-P0,QA-BRW-003;QA-VIS-003;QA-A11Y-005;QA-REF-UI-001,docs/qa/VISUAL_MATRIX.md;artifacts/qa/baseline/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011904Z;artifacts/qa/visual-determinism/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012203Z;artifacts/qa/visual-determinism/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012250Z;artifacts/qa/a11y-matrix/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011941Z;artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Actualهای current برای چند root/state/referral ثبت شد ولی Golden تصویب‌شده صفر و Route/State matrix اجباری ناقص است
PC-155,QA و تحویل,P0,Diff خارج Threshold صفر باشد,Expected/Actual/Diff و review برای همه تغییرها,Visual report,IN_PROGRESS,BASELINED,FAIL,Visual QA Lead,INVENTORY;PC-153;approved state/viewport matrices,§31.2–31.6; §38.3,I0-pipeline→every-increment,critical-P0,QA-VIS-002,docs/qa/VISUAL_MATRIX.md;artifacts/qa/visual-determinism/080033ae56e3c793ba3a998276cac5daeb969d50/20260714T234000Z-gate-check,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-14T23:58:00Z,Expected/Golden تصویب‌شده وجود ندارد؛ gate-check fail-closed شکست خورد و baseline خودکار نساخت
PC-156,QA و تحویل,P0,سه Clean run متوالی باشد,سه اجرای Full suite روی Commit تحویلی سبز باشد,CI run links,IN_PROGRESS,BASELINED,FAIL,Release Manager,all requirements EVIDENCE_READY;PC-157–162,§2.2; §33.3; §38.2,I8,critical-final,QA-PY-004;QA-FE-BUILD-003;QA-BE-003,docs/qa/PYTHON_TEST_REPORT.md;docs/qa/FRONTEND_BUILD_REPORT.md;artifacts/qa/frontend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011751Z;artifacts/qa/backend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011720Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,"Focused and production slices pass, but three consecutive clean full-suite runs are not yet complete. Prior evidence retained in this row."
PC-157,QA و تحویل,P0,Flake P0 صفر باشد,هیچ Retry پنهان‌کننده و test flaky در P0,Flake report,IN_PROGRESS,BASELINED,PARTIAL,QA Reliability Lead,PC-153;test inventory,§32.3; §33,I0-register→every-increment,critical-P0,QA-INV-003;QA-JS-003;QA-BRW-003;QA-A11Y-005;QA-INT-002,artifacts/qa/frontend-inventory/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012524Z;artifacts/qa/javascript/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013052Z;artifacts/qa/baseline/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011904Z;artifacts/qa/a11y-matrix/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011941Z;artifacts/qa/interactions/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012351Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Runهای browser current retry و flaky صفر دارند و inventory tests deterministically pass شد؛ CI history و تکرار full suite و تمام testهای P0 هنوز کامل نیست
PC-158,QA و تحویل,P0,Migration و Rollback پاس شود,dry-run و rollback/forward-fix در staging موفق,Release report,NOT_STARTED,BASELINING,NOT_ASSESSED,Release/SRE Lead,PC-005;PC-044;PC-075;PC-135,§6.2; §33.3; §38.2,I0-baseline→I8-release,critical-P0,,,,,
PC-159,QA و تحویل,P0,Evidence قابل ردیابی باشد,هر Requirement به test/artifact/commit پیوند داشته باشد,Traceability audit,IN_PROGRESS,EVIDENCE_READY,PARTIAL,Delivery/Traceability Lead,internal governance chain,§1; §2.2; §35.3; §40,I0-GOV,critical,TRACE-001;QA-INV-003;QA-JS-003;QA-FE-BUILD-003;QA-PANEL-001;QA-BE-003;QA-PY-004;QA-BRW-003;QA-A11Y-005;QA-INT-002;QA-REF-UI-001;QA-VIS-003;PERF-003;PERF-004;QA-SEC-003;QA-SEC-SRC-001;QA-SCA-002;QA-SEC-ART-001,docs/qa/EVIDENCE_INDEX.md;artifacts/qa/frontend-inventory/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012524Z;artifacts/qa/javascript/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013052Z;artifacts/qa/frontend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011751Z;artifacts/qa/panel-navigation/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T010846Z;artifacts/qa/backend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011720Z;artifacts/qa/baseline/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011904Z;artifacts/qa/a11y-matrix/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011941Z;artifacts/qa/interactions/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012351Z;artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z;artifacts/qa/visual-determinism/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012203Z;artifacts/qa/visual-determinism/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012250Z;artifacts/qa/performance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013244Z;artifacts/qa/quote-commit/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013516Z;artifacts/qa/security-headers/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012839Z;artifacts/qa/current-source-secrets/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T015218Z;artifacts/qa/supply-chain/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012504Z;artifacts/qa/all-artifacts-secrets/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T014820Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,"Current deployment, QA and checksum evidence is linked; traceability for all 162 requirements is not complete. Prior evidence retained in this row."
PC-160,QA و تحویل,P0,Execution state همیشه قابل Resume باشد,فاز، مانع، action بعدی و فرمان Resume به‌روز باشد,State audit,IN_PROGRESS,EVIDENCE_READY,PARTIAL,Delivery/Traceability Lead,internal governance chain,§1; §2.2; §35.3; §40,I0-GOV,critical,,docs/EXECUTION_STATE.md;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,Execution state and Resume command were refreshed after DEPLOY-039; Goal remains IN_PROGRESS. Prior evidence retained in this row.
PC-161,QA و تحویل,P1,Cross-browser/device matrix پاس شود,Browserهای هدف و Viewportها بدون defect زیاد,Compatibility report,NOT_STARTED,BASELINING,NOT_ASSESSED,Compatibility QA Lead,PC-153–155;all UI journeys stable,§31.2; §33.2; §38.2,I8,P1-final,,,,,
PC-162,QA و تحویل,P1,Release artifact امضا و دارای SBOM باشد,provenance/hash/SBOM قابل تأیید,Supply-chain report,IN_PROGRESS,BASELINED,FAIL,Supply-chain/Release Lead,PC-133;reproducible build;release pipeline,§33.3; §35.1; §38.2,I8,P1-final,QA-SCA-002,docs/security/SECURITY_REPORT.md;artifacts/qa/supply-chain/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012504Z;artifacts/qa/deploy/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T042151Z-referral-only-runtime,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T04:26:37Z,"Exact images have SBOMs and checksum manifests, but signing, provenance and attestation are still absent. Prior evidence retained in this row."
